NAMES,MAJOR CITY,STATE,ADDRESS
Macdons Guest House,Uwani, Enugu ,4th Avenue City Layout
Duba Guest House,Thinkers Corner, Enugu ,"4, Asadu Street"
Safety Hotel,Achara, Enugu ,"10 Adazi Street, Uwani"
Vinbecca Hotel And Bar,Trans-Ekulu,Enugu,"kulu, Enugu - No 1, Joseph Okoye Crescent, New GRA"
Grenpo Hotels And Suites,Trans-Ekulu,Enugu,"kulu, Enugu -  5, Ozor Ezea Street"
Gold Stream Hotel Limited,Awkunanaw, Enugu ,Onu Orie Amechi
Summer Hotels,Awkunanaw, Enugu ,"No 347, Agbani Road"
Mankind Resort Limited,Ugwuaji, Enugu ,"Enugu-Portharcourt Expressway, By Ugwuaji Flyover"
Aristar Hotels And Residence,New Haven, Enugu ,No 17 Amawbia Close
Envour,enugu, Enugu ,enugu 
Garden Court Hotel And Resort,Emene, Enugu ,"No 3, Airport Corner Road, By Airport Corner Busst..."
Vic G Will Garden Hotel & Suites,Nsukka, Enugu ,"Nru Road, Opposite Nru Boys Secondary School, Nru ..."
Hardbreakhotels,enugu, Enugu ,enugu
Hotel Sylvia,nil, Enugu ,nil
BON Hotel Sunshine Enugu,nil, Enugu ,
Villa Italian Hotel ,Enugu, Enugu ,"Villa Italian Street By Sikkens Avenue, Loma-Linda..."
Carino's Suites,Independence Layout, Enugu ,"�Achi St, Independence Layout, Enugu"
